PCA,LBFGS,Validação cruzada,Média,SGD,Validação cruzada,Média,ADAM,Validação cruzada,Média
1,,0.5,0.5,,0.5,0.5,,0.5,0.5
2,,0.373333333,0.379310345,,0.5,0.5,,0.373333333,0.379310345
3,,0.586666667,0.586206897,,0.5,0.5,,0.573333333,0.586206897
4,,0.37,0.413793103,,0.5,0.5,,0.423333333,0.413793103
5,,0.446666667,0.448275862,,0.5,0.5,,0.43,0.448275862
6,,0.55,0.551724138,,0.5,0.5,,0.513333333,0.517241379
7,,0.556666667,0.551724138,,0.5,0.5,,0.593333333,0.586206897
8,,0.516666667,0.517241379,,0.5,0.5,,0.516666667,0.482758621
9,,0.546666667,0.482758621,,0.5,0.5,,0.533333333,0.517241379
10,,0.593333333,0.586206897,,0.5,0.5,,0.593333333,0.586206897
11,,0.506666667,0.517241379,,0.5,0.5,,0.506666667,0.517241379
12,,0.55,0.551724138,,0.5,0.5,,0.553333333,0.465517241
13,,0.44,0.448275862,,0.5,0.5,,0.53,0.517241379
14,,0.493333333,0.586206897,,0.5,0.5,,0.586666667,0.448275862
15,,0.503333333,0.5,,0.5,0.5,,0.48,0.534482759
16,,0.466666667,0.482758621,,0.5,0.5,,0.566666667,0.5
17,,0.496666667,0.5,,0.5,0.5,,0.426666667,0.465517241
18,,0.496666667,0.5,,0.5,0.5,,0.46,0.448275862
19,,0.396666667,0.448275862,,0.5,0.5,,0.453333333,0.448275862
20,,0.606666667,0.586206897,,0.5,0.5,,0.573333333,0.534482759
21,,0.443333333,0.465517241,,0.5,0.5,,0.393333333,0.5
22,,0.623333333,0.620689655,,0.5,0.5,,0.52,0.551724138
23,,0.5,0.5,,0.5,0.482758621,,0.5,0.482758621
24,,0.43,0.431034483,,0.5,0.5,,0.52,0.413793103
25,,0.67,0.620689655,,0.5,0.5,,0.556666667,0.603448276
26,,0.52,0.517241379,,0.5,0.5,,0.463333333,0.517241379
27,,0.54,0.534482759,,0.5,0.5,,0.456666667,0.517241379
28,,0.59,0.534482759,,0.5,0.5,,0.586666667,0.586206897
29,,0.623333333,0.620689655,,0.5,0.5,,0.59,0.551724138
30,,0.516666667,0.5,,0.5,0.5,,0.513333333,0.482758621
31,,0.516666667,0.517241379,,0.5,0.5,,0.496666667,0.448275862
32,,0.57,0.620689655,,0.5,0.5,,0.536666667,0.586206897
33,,0.553333333,0.534482759,,0.483333333,0.5,,0.54,0.586206897
34,,0.66,0.655172414,,0.483333333,0.5,,0.623333333,0.603448276
35,,0.466666667,0.482758621,,0.5,0.5,,0.49,0.5
36,,0.533333333,0.551724138,,0.5,0.5,,0.483333333,0.568965517
37,,0.5,0.5,,0.5,0.5,,0.5,0.5
38,,0.536666667,0.534482759,,0.5,0.5,,0.47,0.465517241
39,,0.606666667,0.603448276,,0.5,0.5,,0.536666667,0.568965517
40,,0.483333333,0.482758621,,0.5,0.5,,0.516666667,0.448275862
41,,0.563333333,0.551724138,,0.5,0.5,,0.55,0.448275862
42,,0.53,0.517241379,,0.5,0.5,,0.493333333,0.534482759
43,,0.5,0.5,,0.5,0.482758621,,0.5,0.5
44,,0.45,0.448275862,,0.5,0.5,,0.486666667,0.5
45,,0.42,0.448275862,,0.5,0.5,,0.456666667,0.482758621
46,,0.5,0.5,,0.5,0.5,,0.5,0.5
47,,0.463333333,0.5,,0.5,0.5,,0.413333333,0.465517241
48,,0.52,0.517241379,,0.5,0.5,,0.446666667,0.517241379
49,,0.503333333,0.5,,0.5,0.5,,0.45,0.431034483
50,,0.49,0.482758621,,0.5,0.5,,0.456666667,0.517241379
51,,0.46,0.5,,0.5,0.5,,0.493333333,0.517241379
52,,0.536666667,0.551724138,,0.5,0.5,,0.433333333,0.517241379
53,,0.466666667,0.327586207,,0.5,0.5,,0.38,0.413793103
54,,0.5,0.431034483,,0.5,0.5,,0.496666667,0.551724138
55,,0.45,0.465517241,,0.5,0.5,,0.47,0.396551724
56,,0.436666667,0.431034483,,0.5,0.5,,0.536666667,0.534482759
57,,0.483333333,0.482758621,,0.5,0.5,,0.38,0.344827586
58,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
59,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
60,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
61,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
62,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
63,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
64,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
65,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
66,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
67,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
68,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
69,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
70,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
71,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
72,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
