PCA,Camada oculta,LBFGS,VC,Media,SGD,VC,Media,ADAM,VC,Media
1,1,,0.5,0.5,,0.5,0.5,,0.5,0.5
2,2,,0.5,0.5,,0.5,0.5,,0.5,0.5
3,2,,0.51666666666666672,0.51724137931034486,,0.40666666666666673,0.39655172413793105,,0.51666666666666672,0.51724137931034486
4,2,,0.45666666666666672,0.46551724137931033,,0.39000000000000001,0.39655172413793105,,0.45666666666666672,0.46551724137931033
5,3,,0.57999999999999996,0.56896551724137934,,0.57666666666666655,0.5,,0.57999999999999996,0.56896551724137934
6,3,,0.53666666666666674,0.53448275862068961,,0.62666666666666671,0.58620689655172409,,0.53666666666666674,0.53448275862068961
7,3,,0.40666666666666673,0.41379310344827586,,0.51666666666666672,0.5,,0.40666666666666673,0.41379310344827586
8,4,,0.40666666666666673,0.41379310344827586,,0.5,0.5,,0.40666666666666673,0.41379310344827586
9,4,,0.40999999999999998,0.43103448275862066,,0.46666666666666662,0.41379310344827586,,0.42999999999999999,0.43103448275862066
10,4,,0.59333333333333338,0.58620689655172409,,0.5,0.5,,0.57666666666666677,0.56896551724137934
11,4,,0.5,0.5,,0.5,0.5,,0.5,0.5
12,4,,0.53333333333333344,0.53448275862068961,,0.51666666666666672,0.48275862068965519,,0.53333333333333344,0.53448275862068961
13,5,,0.39333333333333337,0.39655172413793105,,0.5,0.5,,0.39333333333333337,0.39655172413793105
14,5,,0.66333333333333333,0.65517241379310343,,0.5,0.5,,0.64333333333333331,0.65517241379310343
15,5,,0.51666666666666661,0.46551724137931033,,0.5,0.48275862068965519,,0.47999999999999998,0.48275862068965519
16,5,,0.4966666666666667,0.5,,0.60999999999999999,0.58620689655172409,,0.4966666666666667,0.51724137931034486
17,5,,0.47000000000000003,0.46551724137931033,,0.5,0.51724137931034486,,0.47000000000000003,0.46551724137931033
18,6,,0.54000000000000004,0.53448275862068961,,0.51666666666666672,0.5,,0.54000000000000004,0.53448275862068961
19,6,,0.53333333333333333,0.53448275862068961,,0.5,0.5,,0.53333333333333333,0.53448275862068961
20,6,,0.60666666666666669,0.5,,0.5,0.5,,0.52000000000000002,0.5
21,6,,0.58666666666666667,0.58620689655172409,,0.59333333333333338,0.48275862068965519,,0.58666666666666667,0.58620689655172409
22,6,,0.42333333333333334,0.43103448275862066,,0.5,0.5,,0.42333333333333334,0.43103448275862066
23,6,,0.51666666666666672,0.51724137931034486,,0.5,0.5,,0.51666666666666672,0.51724137931034486
24,6,,0.46666666666666662,0.46551724137931033,,0.5,0.5,,0.45000000000000001,0.44827586206896552
25,7,,0.36333333333333329,0.41379310344827586,,0.5,0.48275862068965519,,0.41333333333333327,0.43103448275862066
26,7,,0.55666666666666664,0.55172413793103448,,0.5,0.5,,0.55666666666666664,0.55172413793103448
27,7,,0.53666666666666674,0.53448275862068961,,0.53333333333333333,0.60344827586206895,,0.53666666666666674,0.53448275862068961
28,7,,0.55666666666666664,0.55172413793103448,,0.57666666666666655,0.58620689655172409,,0.55666666666666664,0.55172413793103448
29,7,,0.5,0.5,,0.42333333333333334,0.39655172413793105,,0.5,0.5
30,7,,0.44666666666666666,0.44827586206896552,,0.5,0.5,,0.44666666666666666,0.44827586206896552
31,7,,0.53666666666666674,0.53448275862068961,,0.5,0.5,,0.53666666666666674,0.53448275862068961
32,8,,0.5,0.53448275862068961,,0.5,0.5,,0.51666666666666661,0.51724137931034486
33,8,,0.51333333333333331,0.53448275862068961,,0.5,0.5,,0.53333333333333333,0.53448275862068961
34,8,,0.5,0.5,,0.5,0.5,,0.48333333333333328,0.51724137931034486
35,8,,0.44666666666666666,0.5,,0.5,0.5,,0.4966666666666667,0.5
36,8,,0.52000000000000002,0.51724137931034486,,0.53333333333333333,0.5,,0.5033333333333333,0.5
37,8,,0.57333333333333325,0.51724137931034486,,0.5,0.5,,0.55666666666666664,0.53448275862068961
38,8,,0.5,0.5,,0.5,0.5,,0.51666666666666661,0.51724137931034486
39,8,,0.47999999999999998,0.48275862068965519,,0.5,0.48275862068965519,,0.47999999999999998,0.48275862068965519
40,8,,0.40666666666666662,0.41379310344827586,,0.5,0.5,,0.39000000000000001,0.39655172413793105
41,9,,0.51999999999999991,0.51724137931034486,,0.5,0.5,,0.53666666666666674,0.53448275862068961
42,9,,0.48666666666666669,0.48275862068965519,,0.5,0.5,,0.5033333333333333,0.48275862068965519
43,9,,0.45999999999999996,0.46551724137931033,,0.5,0.5,,0.45999999999999996,0.46551724137931033
44,9,,0.52000000000000002,0.51724137931034486,,0.5,0.5,,0.50333333333333341,0.51724137931034486
45,9,,0.59000000000000008,0.60344827586206895,,0.59333333333333338,0.5,,0.57333333333333325,0.58620689655172409
46,9,,0.55333333333333345,0.55172413793103448,,0.5,0.5,,0.55333333333333345,0.55172413793103448
47,9,,0.55666666666666664,0.58620689655172409,,0.60999999999999999,0.5,,0.57333333333333347,0.58620689655172409
48,9,,0.60999999999999999,0.60344827586206895,,0.5,0.5,,0.59333333333333338,0.58620689655172409
49,9,,0.48333333333333328,0.48275862068965519,,0.5,0.5,,0.5,0.5
50,10,,0.41666666666666663,0.41379310344827586,,0.5,0.5,,0.41666666666666663,0.41379310344827586
51,10,,0.5,0.48275862068965519,,0.5,0.5,,0.46666666666666667,0.51724137931034486
52,10,,0.5066666666666666,0.5,,0.5,0.5,,0.5066666666666666,0.5
53,10,,0.51666666666666672,0.5,,0.5,0.5,,0.5033333333333333,0.51724137931034486
54,10,,0.55666666666666664,0.55172413793103448,,0.5,0.5,,0.54000000000000004,0.55172413793103448
55,10,,0.5033333333333333,0.51724137931034486,,0.5,0.5,,0.5,0.51724137931034486
56,10,,0.5,0.5,,0.5,0.5,,0.5,0.51724137931034486
57,10,,0.54000000000000004,0.53448275862068961,,0.5,0.48275862068965519,,0.54000000000000004,0.53448275862068961
58,10,,0.52000000000000002,0.51724137931034486,,0.5,0.5,,0.5033333333333333,0.5
59,10,,0.52000000000000002,0.51724137931034486,,0.5,0.5,,0.5033333333333333,0.5
60,10,,0.52000000000000002,0.51724137931034486,,0.5,0.5,,0.5033333333333333,0.5
61,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
62,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
63,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
64,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
65,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
66,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
67,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
